track,record_id,subject_or_paper,provider,auto_verdict,human_verdict,notes
A_recovery,cd4583ce844d9f5c:p22:q149,cd4583ce844d9f5c,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,68144ff73f8a4119:p13:q84,68144ff73f8a4119,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,df0707ec85be4616:p4:q20,df0707ec85be4616,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,cd4583ce844d9f5c:p10:q61,cd4583ce844d9f5c,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,2b2bc0f64b041d11:p3:q10,2b2bc0f64b041d11,"gemini,openai,anthropic",HUMAN_REVIEW,PENDING,
A_recovery,2b2bc0f64b041d11:p14:q72,2b2bc0f64b041d11,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,6c0df3028143ff02:p24:q158,6c0df3028143ff02,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,b69d582ff457c62e:p4:q10,b69d582ff457c62e,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,530db8cab5eb3f34:p25:q169,530db8cab5eb3f34,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,2b2bc0f64b041d11:p4:q18,2b2bc0f64b041d11,,HUMAN_REVIEW,PENDING,
A_recovery,b69d582ff457c62e:p42:q3,b69d582ff457c62e,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,f7a45c960ede2f29:p5:q22,f7a45c960ede2f29,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,204ae2d806cddc1b:p5:q29,204ae2d806cddc1b,"gemini,openai,anthropic",INCONCLUSIVE,PENDING,
A_recovery,38d7f2187e79f7a7:p6:q37,38d7f2187e79f7a7,,HUMAN_REVIEW,PENDING,
A_recovery,b69d582ff457c62e:p40:q174,b69d582ff457c62e,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,1d6b4be1305ce0be:p14:q91,1d6b4be1305ce0be,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,6c0df3028143ff02:p8:q52,6c0df3028143ff02,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,b69d582ff457c62e:p48:q13,b69d582ff457c62e,,HUMAN_REVIEW,PENDING,
A_recovery,87c534cad98b7b4e:p5:q30,87c534cad98b7b4e,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,1d6b4be1305ce0be:p7:q41,1d6b4be1305ce0be,,HUMAN_REVIEW,PENDING,
A_recovery,87c534cad98b7b4e:p5:q27,87c534cad98b7b4e,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,7e4dabb5a199588d:p28:q161,7e4dabb5a199588d,,HUMAN_REVIEW,PENDING,
A_recovery,1d7ffd36a442fa95:p17:q104,1d7ffd36a442fa95,,HUMAN_REVIEW,PENDING,
A_recovery,f7a45c960ede2f29:p6:q27,f7a45c960ede2f29,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,ee3990aec2dfa279:p2:q20,ee3990aec2dfa279,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,a1c3361678271d6e:p16:q96,a1c3361678271d6e,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,1d6b4be1305ce0be:p7:q45,1d6b4be1305ce0be,"gemini,openai,anthropic",HUMAN_REVIEW,PENDING,
A_recovery,297fcb0c37dbdddb:p7:q49,297fcb0c37dbdddb,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,1d7ffd36a442fa95:p13:q81,1d7ffd36a442fa95,"gemini,openai,anthropic",FAIL,PENDING,
A_recovery,1d6b4be1305ce0be:p12:q75,1d6b4be1305ce0be,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,dbdcfa0a13d13467:p17:q101,dbdcfa0a13d13467,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,6c0df3028143ff02:p13:q80,6c0df3028143ff02,"gemini,openai,anthropic",HUMAN_REVIEW,PENDING,
A_recovery,68144ff73f8a4119:p13:q83,68144ff73f8a4119,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,8633a3811ea07447:p23:q156,8633a3811ea07447,,HUMAN_REVIEW,PENDING,
A_recovery,a43894b5fbc8cd28:p9:q1,a43894b5fbc8cd28,"gemini,openai,anthropic",FAIL,PENDING,
A_recovery,297fcb0c37dbdddb:p13:q80,297fcb0c37dbdddb,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,dbdcfa0a13d13467:p16:q95,dbdcfa0a13d13467,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,b69d582ff457c62e:p15:q59,b69d582ff457c62e,"gemini,openai,anthropic",HUMAN_REVIEW,PENDING,
A_recovery,f5378eb6785774c3:p3:q12,f5378eb6785774c3,,HUMAN_REVIEW,PENDING,
A_recovery,1d6b4be1305ce0be:p8:q50,1d6b4be1305ce0be,"gemini,openai,anthropic",HUMAN_REVIEW,PENDING,
A_recovery,f5378eb6785774c3:p21:q141,f5378eb6785774c3,"gemini,openai,anthropic",VERIFIED,PENDING,
A_recovery,7e4dabb5a199588d:p8:q38,7e4dabb5a199588d,,HUMAN_REVIEW,PENDING,
